																																							
	Species	Common Name(s)	Superior	Michigan	Huron	Erie	Ontario	St. Marys River	Huron Erie Corridor	Niagara River	Aerial/Terrestrial	Benthic	Limnetic	Littoral	Tributaries/Wetlands	BOLD Entry	Other Genetic Info	COL Accepted Name	Catalogue of Life Link	Class	Family	Coarse Grouping	Fine Grouping	ID Level	ITIS Accepted Name	ITIS URL	Introduction Source	Natural History Link	Notes	Order	Origin	Phylum	Reference (for Laurentian Great Lakes Occurrence)	Reference (for locations discovered)					
	Moxostoma anisurum	silver redhorse/ silver mullet/ white nosed redhorse/ white nosed mullet/ white nosed sucker	X	X	X	X	X		X					X	X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Moxostoma+anisurum&searchTax=Search+Taxonomy		Moxostoma anisurum: (Rafinesque	1820)	www.catalogueoflife.org/col/details/species/id/3878567221cacd306b5bfd3c4dbd4098	Actinopterygii	Catostomidae�	roughfish	sucker	Species	Moxostoma anisurum: (Rafinesque	1820)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163933#null		http://www.ontariofishes.ca/fish_detail.php?FID=68		Cypriniformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000			
	Moxostoma carinatum	river redhorse		X	X	X	X							X	X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Moxostoma+carinatum&searchTax=Search+Taxonomy		Moxostoma carinatum: (Cope	1870)	www.catalogueoflife.org/col/details/species/id/30098942da502751e9a61aa1d107074d	Actinopterygii	Catostomidae�	roughfish	sucker	Species	Moxostoma carinatum: (Cope	1870)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163936#null		http://www.ontariofishes.ca/fish_detail.php?FID=69		Cypriniformes	Native	Chordata	Jude & Pappas 1992	Ontario: Jude & Pappas 1992; other lakes: Roth et al. 2012			
	Moxostoma duquesnii	black redhorse		X	X	X	X								X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Moxostoma+duquesnii&searchTax=Search+Taxonomy		Moxostoma duquesnii: (Lesueur	1817)	www.catalogueoflife.org/col/details/species/id/e8610645ad44e77bbefc783df9bccd79	Actinopterygii	Catostomidae�	roughfish	sucker	Species	Moxostoma duquesnii: (Lesueur	1817)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=553274#null		http://www.ontariofishes.ca/fish_detail.php?FID=70		Cypriniformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Erie/Huron: Cudmore-Vokey & Crossman 2000; Michigan/Ontario: Roth et al. 2012			
	Moxostoma erythrurum	golden redhorse		X	X	X	X		X						X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Moxostoma+erythrurum&searchTax=Search+Taxonomy		Moxostoma erythrurum: (Rafinesque	1818)	www.catalogueoflife.org/col/details/species/id/49ad409ef08afb3e24eb4edd622f16c3	Actinopterygii	Catostomidae�	roughfish	sucker	Species	Moxostoma erythrurum: (Rafinesque	1818)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163939#null		http://www.ontariofishes.ca/fish_detail.php?FID=71		Cypriniformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000			
	Moxostoma macrolepidotum	shorthead redhorse/ common mullet/ common redhorse/ northern redhorse/ northern shorthead redhorse/ red sucker/ short-headed mullet	X	X	X	X	X		X					X	X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Moxostoma+macrolepidotum&searchTax=Search+Taxonomy		Moxostoma macrolepidotum: (Lesueur	1817)	www.catalogueoflife.org/col/details/species/id/3013e6f419eb169dd0b1bfd1050258fb	Actinopterygii	Catostomidae�	roughfish	sucker	Species	Moxostoma macrolepidotum: (Lesueur	1817)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163928#null		http://www.ontariofishes.ca/fish_detail.php?FID=72		Cypriniformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000			
	Moxostoma valenciennesi	greater redhorse	X	X	X	X	X		X					X	X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Moxostoma+valenciennesi&searchTax=Search+Taxonomy		Moxostoma valenciennesi: Jordan	1885	www.catalogueoflife.org/col/details/species/id/c8f7f2a77e7c634ef1990e2792a208a2	Actinopterygii	Catostomidae�	roughfish	sucker	Species	Moxostoma valenciennesi: Jordan	1885	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163947#null		http://www.ontariofishes.ca/fish_detail.php?FID=73		Cypriniformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000			
	Misgurnus anguillicaudatus	oriental weatherfish/ amur mud loach/ amur weatherfish/ dojo/Japanese loach or weatherfish/ oriental weatherloach/ pond loach/ weather loach		X	X										X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Misgurnus+anguillicaudatus&searchTax=Search+Taxonomy		Misgurnus anguillicaudatus: (Cantor	1842)	www.catalogueoflife.org/col/details/species/id/a2678a420d6ed546bec8d61e0b9db5a2	Actinopterygii	Cobitidae	not fished	loach/weatherfish	Species	Misgurnus anguillicaudatus: (Cantor	1842)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163978#null	Asia	https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=498		Cypriniformes	Introduced	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000			
	Campostoma anomalum	central stoneroller		X	X	X	X		X						X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Campostoma+anomalum&searchTax=Search+Taxonomy		Campostoma anomalum: (Rafinesque	1820)	www.catalogueoflife.org/col/details/species/id/21107deac66c50fd463c9d28d4d490d2	Actinopterygii	Cyprinidae	not fished	minnow	Species	Campostoma anomalum: (Rafinesque	1820)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163508#null		http://www.ontariofishes.ca/fish_detail.php?FID=17		Cypriniformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000			
	Campostoma oligolepis	largescale stoneroller		X	X	X	X					X			X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Campostoma+oligolepis&searchTax=Search+Taxonomy		Campostoma oligolepis: Hubbs & Greene	1935	www.catalogueoflife.org/col/details/species/id/4c4212f4c29031b3783f787eac982019	Actinopterygii	Cyprinidae	not fished	minnow	Species	Campostoma oligolepis: Hubbs and Greene	1935	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163509#null		http://explorer.natureserve.org/servlet/NatureServe?searchSciOrCommonName=Campostoma+oligolepis		Cypriniformes	Native	Chordata	Roth et al. 2012	Roth et al. 2012			
	Carassius auratus	goldfish/ carp/ crucian carp/ edible goldfish/ gibel carp/ gold crucian carp/ golden carp/ native carp/ New Zealand/ Prussian carp	X	X	X	X	X		X			X		X	X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Carassius+auratus&searchTax=Search+Taxonomy		Carassius auratus: (Linnaeus	1758)	www.catalogueoflife.org/col/details/species/id/a3dd535f393a72511f541b2af95e3d02	Actinopterygii	Cyprinidae	roughfish	minnow	Species	Carassius auratus: (Linnaeus	1758)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163350#null	Asia	http://www.ontariofishes.ca/fish_detail.php?FID=18		Cypriniformes	Introduced	Chordata	Cudmore-Vokey & Crossman 2000	Other lakes: Cudmore-Vokey & Crossman 2000; Superior: Roth et al. 2012			
