Assemblage	Diversity	Observed	Estimator	s.e.	LCL	UCL
BOLD:AAA7558	Shannon diversity	1	1	0	1	1
BOLD:AAA7558	Simpson diversity	1	1	0	1	1
BOLD:AAA7559	Species richness	1	1	0	1	1
BOLD:AAA7559	Shannon diversity	1	1	0	1	1
BOLD:AAA7559	Simpson diversity	1	1	0	1	1
BOLD:AAA8318	Species richness	2	2	0.19694638556693225	2	2.386007822596526
BOLD:AAA8318	Shannon diversity	1.2775319170740629	1.2925988825471983	0.12278569937667425	1.0519433339523547	1.533254431142042
BOLD:AAA8318	Simpson diversity	1.1421319796954315	1.1458333333333346	0.08146369105983838	0.9861674328083538	1.3054992338583153
BOLD:AAA8333	Species richness	1	1	0	1	1
BOLD:AAA8333	Shannon diversity	1	1	0	1	1
BOLD:AAA8333	Simpson diversity	1	1	0	1	1
BOLD:AAA8453	Species richness	1	1	0	1	1
BOLD:AAA8453	Shannon diversity	1	1	0	1	1
BOLD:AAA8453	Simpson diversity	1	1	0	1	1
BOLD:AAA9093	Species richness	2	2	0.47937248544110206	2	2.939552806644011
BOLD:AAA9093	Shannon diversity	1.1240147218730305	1.140353812359935	0.11404497885317232	0.9168297611900853	1.3638778635297848
BOLD:AAA9093	Simpson diversity	1.0512483574244416	1.052631578947367	0.0571553151610327	0.9406092197067069	1.1646539381880272
BOLD:AAA9679	Species richness	1	1	0	1	1
BOLD:AAA9679	Shannon diversity	1	1	0	1	1
BOLD:AAA9679	Simpson diversity	1	1	0	1	1
BOLD:AAA9681	Species richness	1	1	0	1	1
BOLD:AAA9681	Shannon diversity	1	1	0	1	1
BOLD:AAA9681	Simpson diversity	1	1	0	1	1
BOLD:AAA9683	Species richness	1	1	0	1	1
BOLD:AAA9683	Shannon diversity	1	1	0	1	1
BOLD:AAA9683	Simpson diversity	1	1	0	1	1
BOLD:AAA9684	Species richness	1	1	0	1	1
BOLD:AAA9684	Shannon diversity	1	1	0	1	1
BOLD:AAA9684	Simpson diversity	1	1	0	1	1
BOLD:AAA9685	Species richness	1	1	0	1	1
BOLD:AAA9685	Shannon diversity	1	1	0	1	1
BOLD:AAA9685	Simpson diversity	1	Inf	NA	NA	NA
BOLD:AAA9703	Species richness	1	1	0	1	1
BOLD:AAA9703	Shannon diversity	1	1	0	1	1
BOLD:AAA9703	Simpson diversity	1	1	0	1	1
BOLD:AAA9704	Species richness	2	2	0.4824181513244219	2	2.9455222020842604
BOLD:AAA9704	Shannon diversity	1.7547653506033232	2.0306040966347476	0.5625475856247253	0.9280310892203245	3.133177104049171
BOLD:AAA9704	Simpson diversity	1.6	2	0.7925792188682577	0.44657327612332653	3.5534267238766732
BOLD:AAA9705	Species richness	2	2	0.3684529491774709	2	2.7221545103854097
BOLD:AAA9705	Shannon diversity	1.6984332340231805	1.8041315947632641	0.3482762014440802	1.1215227832604504	2.486740406266078
BOLD:AAA9705	Simpson diversity	1.5283018867924527	1.6363636363636362	0.3996855774628302	0.8529942993963957	2.419732973330877
BOLD:AAA9706	Species richness	1	1	0	1	1
BOLD:AAA9706	Shannon diversity	1	1	0	1	1
BOLD:AAA9706	Simpson diversity	1	Inf	NA	NA	NA
BOLD:AAA9707	Species richness	1	1	0	1	1
BOLD:AAA9707	Shannon diversity	1	1	0	1	1
BOLD:AAA9707	Simpson diversity	1	1	0	1	1
BOLD:AAB0557	Species richness	1	1	0	1	1
BOLD:AAB0557	Shannon diversity	1	1	0	1	1
BOLD:AAB0557	Simpson diversity	1	1	0	1	1
BOLD:AAB0558	Species richness	1	1	0	1	1
BOLD:AAB0558	Shannon diversity	1	1	0	1	1
BOLD:AAB0558	Simpson diversity	1	1	0	1	1
BOLD:AAB0559	Species richness	1	1	0	1	1
BOLD:AAB0559	Shannon diversity	1	1	0	1	1
BOLD:AAB0559	Simpson diversity	1	1	0	1	1
BOLD:AAB0560	Species richness	1	1	0	1	1
BOLD:AAB0560	Shannon diversity	1	1	0	1	1
BOLD:AAB0560	Simpson diversity	1	1	0	1	1
BOLD:AAB0735	Species richness	1	1	0	1	1
BOLD:AAB0735	Shannon diversity	1	1	0	1	1
BOLD:AAB0735	Simpson diversity	1	1	0	1	1
BOLD:AAB0736	Species richness	1	1	0	1	1
BOLD:AAB0736	Shannon diversity	1	1	0	1	1
BOLD:AAB0736	Simpson diversity	1	Inf	NA	NA	NA
BOLD:AAB0737	Species richness	1	1	0	1	1
BOLD:AAB0737	Shannon diversity	1	1	0	1	1
BOLD:AAB0737	Simpson diversity	1	1	0	1	1
BOLD:AAB0911	Species richness	1	1	0	1	1
BOLD:AAB0911	Shannon diversity	1	1	0	1	1
BOLD:AAB0911	Simpson diversity	1	1	0	1	1
BOLD:AAB0912	Species richness	1	1	0	1	1
BOLD:AAB0912	Shannon diversity	1	1	0	1	1
BOLD:AAB0912	Simpson diversity	1	1	0	1	1
BOLD:AAB1184	Species richness	1	1	0	1	1
BOLD:AAB1184	Shannon diversity	1	1	0	1	1
BOLD:AAB1184	Simpson diversity	1	1	0	1	1
BOLD:AAB1186	Species richness	3	3	0.47937248544110206	3	3.939552806644011
BOLD:AAB1186	Shannon diversity	2.2687522248983973	2.3840152861178487	0.3079896196865949	1.7803667239199348	2.987663848315763
BOLD:AAB1186	Simpson diversity	2.068376068376068	2.1792452830188727	0.29662956843129407	1.5978620121438771	2.760628553893868
BOLD:AAB2069	Species richness	1	1	0	1	1
BOLD:AAB2069	Shannon diversity	1	1	0	1	1
BOLD:AAB2069	Simpson diversity	1	1	0	1	1
BOLD:AAB2114	Species richness	1	1	0	1	1
BOLD:AAB2114	Shannon diversity	1	1	0	1	1
BOLD:AAB2114	Simpson diversity	1	1	0	1	1
BOLD:AAB2115	Species richness	1	1	0	1	1
BOLD:AAB2115	Shannon diversity	1	1	0	1	1
BOLD:AAB2115	Simpson diversity	1	1	0	1	1
BOLD:AAB2116	Species richness	1	1	0	1	1
BOLD:AAB2116	Shannon diversity	1	1	0	1	1
BOLD:AAB2116	Simpson diversity	1	Inf	NA	NA	NA
BOLD:AAB2117	Species richness	1	1	0	1	1
BOLD:AAB2117	Shannon diversity	1	1	0	1	1
BOLD:AAB2117	Simpson diversity	1	Inf	NA	NA	NA
BOLD:AAB2119	Species richness	1	1	0	1	1
BOLD:AAB2119	Shannon diversity	1	1	0	1	1
BOLD:AAB2119	Simpson diversity	1	Inf	NA	NA	NA
BOLD:AAB2121	Species richness	1	1	0	1	1
BOLD:AAB2121	Shannon diversity	1	1	0	1	1
BOLD:AAB2121	Simpson diversity	1	Inf	NA	NA	NA
BOLD:AAB2123	Species richness	1	1	0	1	1
BOLD:AAB2123	Shannon diversity	1	1	0	1	1
BOLD:AAB2123	Simpson diversity	1	1	0	1	1
BOLD:AAB2124	Species richness	1	1	0	1	1
BOLD:AAB2124	Shannon diversity	1	1	0	1	1
BOLD:AAB2124	Simpson diversity	1	Inf	NA	NA	NA
BOLD:AAB2125	Species richness	1	1	0	1	1
BOLD:AAB2125	Shannon diversity	1	1	0	1	1
BOLD:AAB2125	Simpson diversity	1	1	0	1	1
BOLD:AAB2164	Species richness	1	1	0	1	1
BOLD:AAB2164	Shannon diversity	1	1	0	1	1
BOLD:AAB2164	Simpson diversity	1	1	0	1	1
BOLD:AAB2165	Species richness	1	1	0	1	1
BOLD:AAB2165	Shannon diversity	1	1	0	1	1
BOLD:AAB2165	Simpson diversity	1	1	0	1	1
BOLD:AAB2166	Species richness	1	1	0	1	1
BOLD:AAB2166	Shannon diversity	1	1	0	1	1
BOLD:AAB2166	Simpson diversity	1	1	0	1	1
BOLD:AAB2167	Species richness	1	1	0	1	1
BOLD:AAB2167	Shannon diversity	1	1	0	1	1
BOLD:AAB2167	Simpson diversity	1	1	0	1	1
BOLD:AAB2169	Species richness	1	1	0	1	1
BOLD:AAB2169	Shannon diversity	1	1	0	1	1
BOLD:AAB2169	Simpson diversity	1	1	0	1	1
BOLD:AAB2170	Species richness	1	1	0	1	1
BOLD:AAB2170	Shannon diversity	1	1	0	1	1
BOLD:AAB2170	Simpson diversity	1	Inf	NA	NA	NA
BOLD:AAB2782	Species richness	1	1	0	1	1
BOLD:AAB2782	Shannon diversity	1	1	0	1	1
BOLD:AAB2782	Simpson diversity	1	1	0	1	1
BOLD:AAB2783	Species richness	1	1	0	1	1
BOLD:AAB2783	Shannon diversity	1	1	0	1	1
BOLD:AAB2783	Simpson diversity	1	Inf	NA	NA	NA
BOLD:AAB3328	Species richness	1	1	0	1	1
BOLD:AAB3328	Shannon diversity	1	1	0	1	1
BOLD:AAB3328	Simpson diversity	1	1	0	1	1
BOLD:AAB3397	Species richness	1	1	0	1	1
BOLD:AAB3397	Shannon diversity	1	1	0	1	1
BOLD:AAB3397	Simpson diversity	1	1	0	1	1
BOLD:AAB3398	Species richness	1	1	0	1	1
BOLD:AAB3398	Shannon diversity	1	1	0	1	1
BOLD:AAB3398	Simpson diversity	1	Inf	NA	NA	NA
BOLD:AAB3652	Species richness	1	1	0	1	1
BOLD:AAB3652	Shannon diversity	1	1	0	1	1
BOLD:AAB3652	Simpson diversity	1	1	0	1	1
BOLD:AAB3653	Species richness	1	1	0	1	1
BOLD:AAB3653	Shannon diversity	1	1	0	1	1
BOLD:AAB3653	Simpson diversity	1	1	0	1	1
BOLD:AAB3745	Species richness	1	1	0	1	1
BOLD:AAB3745	Shannon diversity	1	1	0	1	1
BOLD:AAB3745	Simpson diversity	1	1	0	1	1
BOLD:AAB3746	Species richness	1	1	0	1	1
BOLD:AAB3746	Shannon diversity	1	1	0	1	1
BOLD:AAB3746	Simpson diversity	1	Inf	NA	NA	NA
BOLD:AAB3747	Species richness	1	1	0	1	1
BOLD:AAB3747	Shannon diversity	1	1	0	1	1
BOLD:AAB3747	Simpson diversity	1	1	0	1	1
BOLD:AAB3748	Species richness	1	1	0	1	1
BOLD:AAB3748	Shannon diversity	1	1	0	1	1
BOLD:AAB3748	Simpson diversity	1	1	0	1	1
BOLD:AAB3754	Species richness	1	1	0	1	1
BOLD:AAB3754	Shannon diversity	1	1	0	1	1
BOLD:AAB3754	Simpson diversity	1	Inf	NA	NA	NA
BOLD:AAB4483	Species richness	1	1	0	1	1
BOLD:AAB4483	Shannon diversity	1	1	0	1	1
BOLD:AAB4483	Simpson diversity	1	1	0	1	1
BOLD:AAB4616	Species richness	1	1	0	1	1
BOLD:AAB4616	Shannon diversity	1	1	0	1	1
