processid	bin_uri	order_name	lat	lon	country	hemisphere	lat_bin	lat_max	lat_mid	lat_min	lat_band	continent	lat_median
GBMNE31486-21	BOLD:AEN8039	Anura	-14.44	-39.09	Brazil	Southern	9	-10	-15	-20	9	Americas	-15.5944
IQHLM105-06	BOLD:AAB2115	Anura	-1.987	121.339	Indonesia	Southern	8	0	-5	-10	8	Asia	-5.04883
LDPJR051-17	BOLD:ACA5882	Anura	-28.0742	32.3135	South Africa	Southern	10	-20	-25	-30	10	Africa	-23.88
WAFRA203-14	BOLD:ACM4055	Anura	-3.225	10.625	Gabon	Southern	8	0	-5	-10	8	Africa	-5.04883
WAMID323-10	BOLD:AAT9082	Anura	-10.1833	123.767	Indonesia	Southern	9	-10	-15	-20	9	Asia	-15.5944
ABR331-13	BOLD:AAB7052	Anura	7.998	-77.711	Panama	Northern	7	10	5	0	7	Americas	7.756
ABR916-13	BOLD:ACJ9702	Anura	9.061	-77.98	Panama	Northern	7	10	5	0	7	Americas	7.756
ABTVC171-05	BOLD:AAA7138	Anura	9.86347	-84.1467	Costa Rica	Northern	7	10	5	0	7	Americas	7.756
BIFZH080-17	BOLD:ADN5222	Anura	-3.71076	134.07	Indonesia	Southern	8	0	-5	-10	8	Asia	-5.04883
BSAMP885-09	BOLD:AAB0560	Anura	7.756	-77.684	Panama	Northern	7	10	5	0	7	Americas	7.756
BSECO264-11	BOLD:ABA0313	Anura	5.294	-72.706	Colombia	Northern	7	10	5	0	7	Americas	7.756
DBABA676-12	BOLD:ACA3761	Anura	-26.934	-50.699	Brazil	Southern	10	-20	-25	-30	10	Americas	-23.88
DBABA678-12	BOLD:ACA3551	Anura	-19.145	-40.057	Brazil	Southern	9	-10	-15	-20	9	Americas	-15.5944
DBNGF343-10	BOLD:AAZ3804	Anura	-5.73131	145.275	Papua New Guinea	Southern	8	0	-5	-10	8	Oceania	-5.04883
EVACC190-12	BOLD:AAD4144	Anura	8.63312	-80.0767	Panama	Northern	7	10	5	0	7	Americas	7.756
GBAP12077-19	BOLD:ACC6298	Anura	-11.5246	-54.3552	Brazil	Southern	9	-10	-15	-20	9	Americas	-15.5944
GBAP2433-13	BOLD:AAF4233	Anura	40.365	-3.65163	Spain	Northern	3	50	45	40	3	Europe	43.0306
GBAP4911-15	BOLD:ACA5792	Anura	-35.6973	-64.5324	Argentina	Southern	11	-30	-35	-40	11	Americas	-33.6166
GBMNB2303-20	BOLD:ACN7266	Anura	-24.1484	-46.8572	Brazil	Southern	10	-20	-25	-30	10	Americas	-23.88
GBMNB2337-20	BOLD:AED1402	Anura	-22.4565	-44.5852	Brazil	Southern	10	-20	-25	-30	10	Americas	-23.88
GBMNC76023-20	BOLD:ACH9750	Anura	-42.6164	-72.4781	Chile	Southern	12	-40	-45	-50	12	Americas	-42.6164
GBMND61336-21	BOLD:ACG2163	Anura	-14.9337	-41.9496	Brazil	Southern	9	-10	-15	-20	9	Americas	-15.5944
GVDK021-06	BOLD:AAH7182	Anura	-27.231	25.973	South Africa	Southern	10	-20	-25	-30	10	Africa	-23.88
IMSAM563-12	BOLD:ACB5659	Anura	42.99	-5.92644	Spain	Northern	3	50	45	40	3	Europe	43.0306
JBJF202-09	BOLD:AAC9195	Anura	29.63	119.644	China	Northern	5	30	25	20	5	Asia	23.8744
LIN078-06	BOLD:AAA3770	Anura	0.92353	122.644	Indonesia	Northern	7	10	5	0	7	Asia	7.756
LIN382-06	BOLD:AAC1947	Anura	22.9117	96.1007	Myanmar	Northern	5	30	25	20	5	Asia	23.8744
MXHER165-09	BOLD:AAE0094	Anura	19.501	-105.053	Mexico	Northern	6	20	15	10	6	Americas	12.4342
MYARA158-17	BOLD:ACT0594	Anura	12.4342	99.145	Myanmar	Northern	6	20	15	10	6	Asia	12.4342
NPAMV074-08	BOLD:AAF5023	Anura	11.462	107.346	Vietnam	Northern	6	20	15	10	6	Asia	12.4342
VTCOL141-19	BOLD:AAB9718	Anura	42.8214	-80.235	Canada	Northern	3	50	45	40	3	Americas	43.0306
WAFRA227-14	BOLD:ACM4600	Anura	1.0881	17.3074	Republic of the Congo	Northern	7	10	5	0	7	Africa	7.756
WAMAM1013-10	BOLD:AAU0530	Anura	-17.4555	124.234	Australia	Southern	9	-10	-15	-20	9	Oceania	-15.5944
WAMAM468-10	BOLD:AAM1794	Anura	-34.1333	122.25	Australia	Southern	11	-30	-35	-40	11	Oceania	-33.6166
WAMAM799-10	BOLD:AAM1932	Anura	-31.2916	119.65	Australia	Southern	11	-30	-35	-40	11	Oceania	-33.6166
WAMAM830-10	BOLD:AAM1490	Anura	-34.5666	118.008	Australia	Southern	11	-30	-35	-40	11	Oceania	-33.6166
WAMID221-10	BOLD:AAT9082	Anura	-9.8333	124.483	Indonesia	Southern	8	0	-5	-10	8	Asia	-5.04883
WAMIR025-10	BOLD:AAY4806	Anura	-10.1833	123.717	Indonesia	Southern	9	-10	-15	-20	9	Asia	-15.5944
ABR266-13	BOLD:AAB0560	Anura	7.959	-77.704	Panama	Northern	7	10	5	0	7	Americas	7.756
ABR437-13	BOLD:AAA6462	Anura	7.756	-77.686	Panama	Northern	7	10	5	0	7	Americas	7.756
ABR946-13	BOLD:ACJ9685	Anura	9.061	-77.98	Panama	Northern	7	10	5	0	7	Americas	7.756
BSAMP582-08	BOLD:AAB5895	Anura	9.231	-79.403	Panama	Northern	7	10	5	0	7	Americas	7.756
BSATE091-10	BOLD:AAV6757	Anura	6.397	-76.076	Colombia	Northern	7	10	5	0	7	Americas	7.756
EVACC206-12	BOLD:AAD4144	Anura	8.63312	-80.0767	Panama	Northern	7	10	5	0	7	Americas	7.756
GBAP20391-19	BOLD:AEB1655	Anura	31.4083	-95.1667	United States	Northern	4	40	35	30	4	Americas	38.0733
GBAP20490-19	BOLD:AAE6666	Anura	29.9968	-98.2192	United States	Northern	5	30	25	20	5	Americas	23.8744
GBAP5473-15	BOLD:ACS5192	Anura	-2.11	-76.19	Ecuador	Southern	8	0	-5	-10	8	Americas	-5.04883
GBAP5594-15	BOLD:ACV8177	Anura	-19.0416	46.6849	Madagascar	Southern	9	-10	-15	-20	9	Africa	-15.5944
GBAP819-09	BOLD:AAC0630	Anura	0.6169	128.38	Indonesia	Northern	7	10	5	0	7	Asia	7.756
GBAP843-09	BOLD:AAC6637	Anura	0.3235	127.784	Indonesia	Northern	7	10	5	0	7	Asia	7.756
GBAP899-09	BOLD:AAB8891	Anura	1.2889	127.533	Indonesia	Northern	7	10	5	0	7	Asia	7.756
GBMIN92782-17	BOLD:ACD2618	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia	38.0733
GBMNC76061-20	BOLD:ACH9750	Anura	-42.7183	-73.9414	Chile	Southern	12	-40	-45	-50	12	Americas	-42.6164
GBMND795-21	BOLD:ACA3747	Anura	-25.466	-49.053	Brazil	Southern	10	-20	-25	-30	10	Americas	-23.88
GBMNF3626-22	BOLD:AES6166	Anura	-1.41065	-78.1922	Ecuador	Southern	8	0	-5	-10	8	Americas	-5.04883
LIN026-06	BOLD:AAA3768	Anura	1.56675	125.166	Indonesia	Northern	7	10	5	0	7	Asia	7.756
OSTEO063-14	BOLD:AAW9345	Anura	-3.265	-72.085	Peru	Southern	8	0	-5	-10	8	Americas	-5.04883
TPZAN061-18	BOLD:AAC3625	Anura	24.6975	112.988	China	Northern	5	30	25	20	5	Asia	23.8744
TPZAN180-18	BOLD:ADL5514	Anura	24.8894	121.567	Taiwan	Northern	5	30	25	20	5	Asia	23.8744
WAMAM706-10	BOLD:AAM1880	Anura	-35.0166	117.792	Australia	Southern	11	-30	-35	-40	11	Oceania	-33.6166
