processid	bin_uri	order_name	lat	lon	country	hemisphere	lat_bin	lat_max	lat_mid	lat_min	lat_band	continent
AMPSA202-13	BOLD:ACJ9692	Anura	-32.479	24.0679	South Africa	Southern	11	-30	-35	-40	11	Africa
BSACU037-11	BOLD:AAU0047	Anura	22.647	-83.37	Cuba	Northern	5	30	25	20	5	Americas
BSAMP028-07	BOLD:AAC2526	Anura	8.667	-80.592	Panama	Northern	7	10	5	0	7	Americas
BSAMP192-07	BOLD:AAD4144	Anura	8.667	-80.592	Panama	Northern	7	10	5	0	7	Americas
BSAMP627-08	BOLD:AAC6124	Anura	9.231	-79.403	Panama	Northern	7	10	5	0	7	Americas
DBABA319-12	BOLD:ACA3465	Anura	-3.893	-38.72	Brazil	Southern	8	0	-5	-10	8	Americas
GBAP11722-19	BOLD:ACB7937	Anura	-11.5246	-54.3552	Brazil	Southern	9	-10	-15	-20	9	Americas
GBAP12360-19	BOLD:ADK3213	Anura	-1.56427	-78.463	Ecuador	Southern	8	0	-5	-10	8	Americas
GBAP1911-13	BOLD:ACH2647	Anura	-19.0416	46.6849	Madagascar	Southern	9	-10	-15	-20	9	Africa
GBAP1996-13	BOLD:ACH3862	Anura	-19.0416	46.6849	Madagascar	Southern	9	-10	-15	-20	9	Africa
GBAP3909-13	BOLD:ACI1255	Anura	-16.7312	-64.4521	Bolivia	Southern	9	-10	-15	-20	9	Americas
GBAP820-09	BOLD:ABZ1393	Anura	1.3667	128.233	Indonesia	Northern	7	10	5	0	7	Asia
GBCOC3058-23	BOLD:ACB3869	Anura	34.0827	102.626	China	Northern	4	40	35	30	4	Asia
GBCOC3172-23	BOLD:AAB7344	Anura	32.5138	96.6487	China	Northern	4	40	35	30	4	Asia
GBMNA13933-19	BOLD:AAJ2048	Anura	40.365	-3.65163	Spain	Northern	3	50	45	40	3	Europe
LIN181-06	BOLD:AAB7847	Anura	-5.41521	119.872	Indonesia	Southern	8	0	-5	-10	8	Asia
MJNV041-24	BOLD:ABA0585	Anura	3.52333	-73.4061	Colombia	Northern	7	10	5	0	7	Americas
MXHER042-09	BOLD:AAK1327	Anura	20.021	-97.523	Mexico	Northern	5	30	25	20	5	Americas
WAMAL424-10	BOLD:AAT9366	Anura	-25.033	115.3	Australia	Southern	10	-20	-25	-30	10	Oceania
